asn,asn_org,ip_count,prefix_count,provider_count,country_count,countries
212238,CDNEXT,5194,528,21,37,AT AU BG CA CH CL CO DE DK ES FR GB GR HK HR HU IE IL IT JP MX MY NG NL NO PE PL PT RO SE SG SK TR UA UK US ZA
9009,M247,3736,664,47,22,AE AT BE BG BR CA CZ DE DK ES FR GB HK HU IE IT NL NO RO RS UK US
62651,NETPROTECT-62651,3190,79,3,1,US
62240,CLOUVIDER Clouvider - Global ASN,2840,101,10,3,GB UK US
136787,PACKETHUBSA-AS-AP PacketHub S.A.,1153,99,1,1,PA
137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,1014,147,11,6,AU NL OM PH SG US
60068,CDN77 _,798,155,21,14,AU CH CZ GB GR HK IT JP PL SE SG SK UK US
174,COGENT-174,772,53,9,4,CA CZ DE US
25369,BANDWIDTH-AS,671,58,10,5,CH FR GB NL UK
147049,PACKETHUBSA-AS-AP PacketHub S.A.,650,30,1,1,AU
140952,"STL-AS-AP Strong Technology, LLC",564,13,3,1,US
22781,STRTEC,563,71,3,1,US
36352,AS-COLOCROSSING,496,237,16,1,US
141039,PACKETHUBSA-AS-AP PacketHub S.A.,383,19,1,1,PA
11878,TZULO,345,94,7,1,US
207137,PACKETHUBSA,343,22,1,1,PA
49453,GLOBALLAYER,337,10,3,2,BE NL
16276,OVH,288,150,27,5,AU CA FR PL SG
62904,AS62904 - Eonix Corporation,280,10,6,1,US
39287,ABSTRACT,241,16,1,1,RO
21859,ZEN-ECN,227,52,11,4,ID MY PH US
20473,AS-VULTR,221,116,15,1,US
396356,LATITUDE-SH,212,37,17,4,BR CL MX US
46844,SHARKTECH,203,18,5,1,US
42708,GLESYS glesys.com,192,27,18,3,DK FI SE
14061,DIGITALOCEAN-ASN,189,168,17,3,IN NL US
136258,"ONEPROVIDER-AS BrainStorm Network, Inc",177,65,12,27,AU BG CA CH CY CZ DE EU FL FR GB IN IT JP MY NA NL PK PL PT RU SE SG TW UA US VN
203020,HOSTROYALE,168,41,13,11,BR CY EE ES FR IN LU MT PT UK US
42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",154,48,19,1,GB
32489,AMANAHA-NEW,149,20,15,1,CA
136557,HOST-AS-AP Host Universal Pty Ltd,134,27,14,2,AU NZ
206804,ESTNOC-GLOBAL,132,22,11,1,EE
54203,NETPROTECT-SP,126,2,2,1,US
0,,124,47,14,20,AM AU BR CA CN DE EG GB HK IN IT JP MU RO RU SG TR UA US ZA
262287,Latitude.sh LTDA,123,20,12,1,BR
