country,ip_count,prefix_count,provider_count,asn_count
GB,10206,1118,56,66
US,9615,1774,73,198
RO,3988,685,53,15
PA,1936,161,22,8
AU,1808,209,32,19
NL,1003,222,49,43
CA,605,166,49,30
SE,487,88,35,21
FR,418,222,42,21
DE,366,251,35,37
IN,257,71,21,16
EE,163,39,22,10
BR,138,32,21,9
CY,136,43,10,8
SG,124,82,20,23
HK,123,65,27,19
LT,111,35,19,9
MY,110,38,21,12
TR,110,37,23,20
JP,97,61,15,22
IT,92,49,25,18
RU,89,63,17,27
MD,76,21,19,7
FI,73,22,23,9
KR,70,49,16,14
AL,69,11,16,5
CH,67,34,17,19
LU,53,25,21,7
TW,51,27,10,6
UA,49,35,24,13
VN,47,20,12,13
PL,46,30,18,14
LV,45,21,13,11
CN,44,43,4,4
IL,42,15,19,7
NO,41,21,19,8
NZ,41,7,7,4
AR,38,18,7,7
ES,38,17,18,14
TH,36,22,14,14
AT,35,23,16,9
CZ,35,16,10,10
ID,35,19,12,12
CR,33,5,12,3
UK,33,18,6,10
ZA,29,19,14,6
IS,28,12,12,6
VU,28,9,2,2
PT,27,18,15,9
BG,26,19,10,11
HU,25,14,9,6
DK,21,13,11,8
MK,20,4,6,3
GE,18,11,6,7
SC,16,11,6,4
GR,15,10,9,8
KZ,15,10,7,6
PH,15,12,7,7
SI,15,6,5,3
AE,11,9,4,5
EU,11,6,4,3
KE,11,1,1,1
BA,10,5,4,2
BE,10,8,6,5
EG,10,5,4,3
IE,10,8,7,5
AQ,9,2,1,1
CL,8,7,7,7
PE,8,4,3,3
MU,7,5,2,0
SK,7,4,4,3
PK,6,3,3,3
UY,6,2,2,2
HR,5,4,4,4
RS,5,5,4,1
SA,5,4,3,3
AM,4,3,3,2
KH,4,2,2,2
MX,4,4,3,4
AZ,3,2,2,2
BD,3,2,2,2
BN,3,2,2,2
DO,3,1,1,1
IM,3,2,2,2
LA,3,2,2,2
LI,3,2,2,2
MT,3,2,2,2
NG,3,2,2,1
AD,2,1,1,1
BO,2,1,1,1
BS,2,1,1,1
BT,2,1,1,1
BZ,2,1,1,1
CO,2,1,1,1
DZ,2,1,1,1
EC,2,1,1,1
GH,2,1,1,1
GL,2,1,1,1
KG,2,2,1,1
MA,2,1,1,1
MC,2,1,1,1
ME,2,1,1,1
MM,2,1,1,1
MN,2,1,1,1
MO,2,1,1,1
NP,2,1,1,1
PR,2,1,1,1
PY,2,1,1,1
UZ,2,1,1,1
Unknown,2,1,1,1
VE,2,1,1,1
ZZ,2,1,1,0
AF,1,1,1,1
AG,1,1,1,1
FL,1,1,1,1
JM,1,1,1,1
JO,1,1,1,1
LK,1,1,1,1
MH,1,1,1,1
NA,1,1,1,1
OM,1,1,1,1
PS,1,1,1,1
TN,1,1,1,1
