provider,asn,asn_org,country_count,countries,ip_count,prefix_count,hosting_ip_count,exit_node_count,avg_confidence
NordVPN,212238,CDNEXT,1,GB,2708,293,2708,2708,95.0
WLVPN,62651,NETPROTECT-62651,1,US,1496,74,1496,1496,95.0
IPVanish,62651,NETPROTECT-62651,1,US,1495,74,1495,1495,95.0
NordVPN,9009,M247,1,RO,1167,227,1167,1167,95.0
NordVPN,136787,PACKETHUBSA-AS-AP PacketHub S.A.,1,PA,1153,99,1153,1153,95.0
NordVPN,62240,CLOUVIDER Clouvider - Global ASN,1,GB,1079,44,1079,1079,95.0
CyberGhost,212238,CDNEXT,1,GB,878,49,878,878,71.7
CyberGhost,9009,M247,1,RO,782,60,782,782,72.8
NordVPN,147049,PACKETHUBSA-AS-AP PacketHub S.A.,1,AU,650,30,650,650,95.0
NordVPN,25369,BANDWIDTH-AS,1,GB,590,46,590,590,95.0
WLVPN,62240,CLOUVIDER Clouvider - Global ASN,1,GB,581,19,581,581,95.0
IPVanish,62240,CLOUVIDER Clouvider - Global ASN,1,GB,580,19,580,580,95.0
Astrill,62240,CLOUVIDER Clouvider - Global ASN,1,GB,539,14,539,539,78.0
ProtonVPN,212238,CDNEXT,1,GB,510,150,510,510,95.0
NordVPN,60068,CDN77 _,1,GB,425,55,425,425,95.0
NordVPN,141039,PACKETHUBSA-AS-AP PacketHub S.A.,1,PA,383,19,383,383,95.0
NordVPN,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,1,AU,368,23,368,368,95.0
NordVPN,207137,PACKETHUBSA,1,PA,343,22,343,343,95.0
AirVPN,9009,M247,1,RO,300,44,300,300,95.0
Astrill,174,COGENT-174,1,US,289,13,289,289,78.0
AirVPN,49453,GLOBALLAYER,1,NL,288,7,288,288,95.0
Windscribe,212238,CDNEXT,1,GB,284,60,284,284,95.0
IPVanish,140952,"STL-AS-AP Strong Technology, LLC",1,US,276,13,276,276,95.0
WLVPN,140952,"STL-AS-AP Strong Technology, LLC",1,US,276,13,276,276,95.0
Astrill,62904,AS62904 - Eonix Corporation,1,US,275,9,275,275,78.0
CyberGhost,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,1,AU,268,16,268,268,71.9
Astrill,212238,CDNEXT,1,GB,256,1,256,256,80.0
ProtonVPN,9009,M247,1,RO,251,127,251,251,95.0
Njalla,39287,ABSTRACT,1,RO,241,16,241,241,80.0
Sentinel dVPN,36352,AS-COLOCROSSING,1,US,236,176,236,236,95.0
StrongVPN,22781,STRTEC,1,US,226,64,226,226,80.9
StrongVPN,62651,NETPROTECT-62651,1,US,199,49,199,199,84.0
Windscribe,9009,M247,1,RO,195,40,195,195,95.0
WLVPN,22781,STRTEC,1,US,176,8,176,176,95.0
CyberGhost,174,COGENT-174,1,US,168,19,168,168,71.3
IPVanish,22781,STRTEC,1,US,161,7,161,161,95.0
CyberGhost,60068,CDN77 _,1,GB,153,19,153,153,72.1
TunnelBear,9009,M247,1,RO,137,22,137,137,95.0
