provider,country,ip_count,prefix_count,asn_count,hosting_ip_count,exit_node_count,avg_confidence
NordVPN,GB,4879,468,9,4879,4879,95.0
WLVPN,US,2417,115,11,2417,2417,95.0
IPVanish,US,2401,114,11,2401,2401,95.0
NordVPN,PA,1879,140,3,1879,1879,95.0
Astrill,US,1368,256,63,1368,1368,78.1
NordVPN,RO,1167,227,1,1167,1167,95.0
CyberGhost,GB,1102,73,4,1102,1102,71.8
NordVPN,AU,1069,61,3,1069,1069,95.0
Astrill,GB,846,31,8,846,846,78.6
CyberGhost,RO,821,63,3,821,821,72.8
WLVPN,GB,738,29,6,738,738,95.0
IPVanish,GB,737,29,6,737,737,95.0
ProtonVPN,GB,549,172,5,549,549,95.0
StrongVPN,US,466,129,10,466,466,82.5
Sentinel dVPN,US,419,278,45,419,419,95.0
Windscribe,GB,350,80,6,350,350,95.0
AirVPN,NL,332,15,3,332,332,95.0
AirVPN,RO,300,44,1,300,300,95.0
CyberGhost,AU,274,21,2,274,274,72.4
WiTopia,US,253,45,21,253,253,95.0
ProtonVPN,RO,251,127,1,251,251,95.0
Njalla,RO,241,16,1,241,241,80.0
TunnelBear,US,229,116,7,229,229,95.0
Windscribe,US,196,47,15,196,196,95.0
Windscribe,RO,195,40,1,195,195,95.0
CyberGhost,US,183,23,4,183,183,71.5
AirVPN,US,176,20,3,176,176,95.0
VPN Unlimited,US,174,114,16,174,174,70.0
NordVPN,US,170,22,6,170,170,95.0
Privado,NL,161,22,3,161,161,95.0
Mullvad,US,152,75,8,152,152,95.0
PureVPN,GB,143,64,5,143,143,88.0
Private Internet Access,US,140,66,9,140,140,95.0
TunnelBear,RO,137,22,1,137,137,95.0
Mullvad,GB,135,51,4,135,135,95.0
Sentinel dVPN,GB,132,81,20,132,132,95.0
Sentinel dVPN,DE,129,119,15,129,129,95.0
AirVPN,CA,128,8,2,128,128,95.0
CyberGhost,SE,125,8,1,125,125,72.0
WiTopia,RO,125,23,1,125,125,95.0
ExpressVPN,CY,104,29,1,104,104,70.0
Astrill,FR,101,18,3,101,101,78.0
ExpressVPN,GB,101,37,7,101,101,69.6
Mullvad,RO,93,50,1,93,93,95.0
PureVPN,RO,93,42,1,93,93,88.0
Mullvad,SE,88,20,1,88,88,95.0
ExpressVPN,AU,87,35,1,87,87,69.7
NordVPN,IN,84,10,3,84,84,95.0
Private Internet Access,RO,80,29,1,80,80,95.0
Giganews,US,73,62,2,73,73,78.0
VyprVPN,US,73,62,2,73,73,95.0
NordVPN,BR,70,8,1,70,70,95.0
OVPN,SE,70,8,3,70,70,95.0
Private Internet Access,GB,68,27,3,68,68,95.0
Private Internet Access,AU,66,23,3,66,66,95.0
Sentinel dVPN,TR,60,16,8,60,60,95.0
WorldVPN,DE,58,46,1,58,58,88.0
NordVPN,NL,57,5,2,57,57,95.0
PureVPN,AU,54,20,3,54,54,88.0
Anonine,RO,51,9,1,51,51,95.0
Astrill,CA,51,15,5,51,51,78.1
BoxPN,RO,51,9,1,51,51,95.0
EasyHideIP,RO,51,9,1,51,51,95.0
FrootVPN,RO,51,9,1,51,51,95.0
WiTopia,FR,50,8,2,50,50,95.0
FlowVPN,US,49,40,24,49,49,70.0
ProtonVPN,NL,48,32,5,48,48,95.0
VPN Jantit,US,48,44,16,48,48,88.0
BoxPN,US,47,8,3,47,47,95.0
PureVPN,MY,47,17,1,47,47,88.0
Surfshark,US,47,39,11,47,47,95.0
Anonine,US,46,8,3,46,46,95.0
CyberGhost,NL,46,2,1,46,46,71.1
EasyHideIP,US,46,8,3,46,46,95.0
FrootVPN,US,46,8,3,46,46,95.0
VPN Unlimited,NL,46,22,2,46,46,70.0
Windscribe,AU,45,14,2,45,45,95.0
IPVanish,NL,44,2,2,44,44,95.0
TunnelBear,SG,44,33,1,44,44,95.0
WLVPN,NL,44,2,2,44,44,95.0
GhostPath,US,43,41,21,43,43,88.0
Astrill,DE,42,21,7,42,42,78.0
VPN Unlimited,CA,41,18,3,41,41,70.0
IVPN,GB,40,31,3,40,40,95.0
ProtonVPN,CH,40,11,3,40,40,95.0
Trust.Zone,RO,40,33,1,40,40,70.0
VPN Gate,JP,40,40,13,40,40,78.0
VPNUK,GB,40,29,5,40,40,86.9
WiTopia,GB,40,3,2,40,40,95.0
Mullvad,IN,39,19,3,39,39,95.0
Sentinel dVPN,RO,39,29,6,39,39,95.0
CyberGhost,LT,38,2,1,38,38,73.3
Goosevpn,RO,38,31,1,38,38,78.0
IPVanish,AU,38,7,1,38,38,95.0
IPVanish,RO,38,6,1,38,38,95.0
Opera VPN,SE,38,3,1,38,38,70.0
WLVPN,AU,38,7,1,38,38,95.0
WLVPN,RO,38,6,1,38,38,95.0
AirVPN,SE,36,1,1,36,36,95.0
Sentinel dVPN,CA,36,20,8,36,36,95.0
IPVanish,CA,35,1,1,35,35,95.0
WLVPN,CA,35,1,1,35,35,95.0
WorldVPN,US,35,14,3,35,35,88.0
FlowVPN,CA,34,20,4,34,34,70.0
FastestVPN,RO,33,29,1,33,33,95.0
SwitchVPN,US,33,23,5,33,33,88.0
Astrill,TW,32,14,2,32,32,78.0
IVPN,RO,32,22,1,32,32,95.0
StrongVPN,GB,32,10,4,32,32,83.8
Astrill,LT,31,11,4,31,31,78.0
VPN.ac,US,31,16,8,31,31,95.0
VPNSecure,FR,31,21,2,31,31,88.0
ExpressVPN,US,30,12,4,30,30,70.0
Sentinel dVPN,SG,30,21,7,30,30,95.0
Vpnht,DE,30,3,2,30,30,78.0
WiTopia,CA,30,5,2,30,30,95.0
Windscribe,EE,30,7,1,30,30,95.0
ExpressVPN,BR,29,5,1,29,29,70.0
PureVPN,US,29,16,6,29,29,88.0
ProtonVPN,AU,28,13,2,28,28,95.0
VPN Gate,KR,28,28,9,28,28,78.0
Astrill,NL,27,8,5,27,27,78.0
Astrill,RO,27,10,1,27,27,78.0
EasyHideIP,GB,27,4,2,27,27,95.0
Astrill,IN,26,12,4,26,26,78.0
CyberGhost,EE,26,2,1,26,26,71.9
PrivateVPN,SE,26,7,5,26,26,95.0
Sentinel dVPN,HK,26,25,9,26,26,95.0
VPN Jantit,GB,26,23,6,26,26,88.0
VPN Unlimited,FR,26,19,2,26,26,70.0
Mullvad,VU,25,7,2,25,25,95.0
Sentinel dVPN,IT,24,16,5,24,24,95.0
WiTopia,TR,24,2,1,24,24,95.0
PrivateVPN,US,23,18,7,23,23,93.8
VPN Jantit,CN,23,22,2,23,23,88.0
FrootVPN,CA,22,4,4,22,22,95.0
Vpnht,FR,22,5,2,22,22,78.0
Windscribe,CA,22,5,2,22,22,95.0
Anonine,CA,21,4,4,21,21,95.0
Anonine,GB,21,3,3,21,21,95.0
AzireVPN,GB,21,20,2,21,21,95.0
BoxPN,CA,21,4,4,21,21,95.0
EasyHideIP,CA,21,4,4,21,21,95.0
IVPN,US,21,18,7,21,21,95.0
VPN.ac,NL,21,13,3,21,21,95.0
Windscribe,AR,21,7,1,21,21,95.0
BoxPN,GB,20,3,3,20,20,95.0
FlowVPN,GB,20,17,12,20,20,70.0
Mullvad,AU,20,7,1,20,20,95.0
Sentinel dVPN,FR,20,20,6,20,20,95.0
TunnelBear,NZ,20,1,1,20,20,95.0
VPN.ac,RO,20,17,1,20,20,95.0
CyberGhost,MD,19,3,1,19,19,72.6
Sentinel dVPN,CN,19,19,3,19,19,95.0
SSHMax,CZ,18,2,1,18,18,70.0
VPN Jantit,RU,18,16,2,18,18,88.0
Vpnht,GB,18,8,2,18,18,78.0
WLVPN,EE,18,3,1,18,18,95.0
IPVanish,EE,17,3,1,17,17,95.0
IPVanish,IN,17,3,2,17,17,95.0
NordVPN,SE,17,1,1,17,17,95.0
VPN Gate,US,17,2,2,17,17,78.0
VPN Jantit,FR,17,16,2,17,17,88.0
WLVPN,IN,17,3,2,17,17,95.0
AirVPN,LV,16,4,1,16,16,95.0
Anonine,AU,16,2,1,16,16,95.0
BoxPN,AU,16,2,1,16,16,95.0
EasyHideIP,AU,16,2,1,16,16,95.0
FrootVPN,AU,16,2,1,16,16,95.0
Perimeter81,US,16,4,1,16,16,70.0
Private Internet Access,UK,16,5,3,16,16,95.0
Smartdnsproxy,RO,16,15,1,16,16,78.0
Trust.Zone,GB,16,15,3,16,16,70.0
TunnelBear,HK,16,3,1,16,16,95.0
CyberGhost,AL,15,2,1,15,15,75.0
FrootVPN,GB,15,2,2,15,15,95.0
OVPN,RO,15,14,1,15,15,95.0
Private Internet Access,CA,15,11,4,15,15,95.0
ProtonVPN,US,15,9,6,15,15,95.0
Safervpn,US,15,14,5,15,15,78.0
VPNUK,CA,15,15,1,15,15,95.0
Windscribe,ID,15,3,1,15,15,95.0
Anonine,LU,14,1,1,14,14,95.0
Astrill,JP,14,2,1,14,14,78.0
AzireVPN,US,14,14,5,14,14,95.0
BoxPN,LU,14,1,1,14,14,95.0
EasyHideIP,LU,14,1,1,14,14,95.0
FrootVPN,LU,14,1,1,14,14,95.0
Hotspotshield,RO,14,14,1,14,14,78.0
IPVanish,FI,14,1,1,14,14,95.0
Ivacy,US,14,14,7,14,14,95.0
WLVPN,FI,14,1,1,14,14,95.0
Zoogvpn,CA,14,14,3,14,14,78.0
Anonine,SE,13,3,1,13,13,95.0
AnonymousVPN,NL,13,12,1,13,13,95.0
Astrill,HK,13,5,4,13,13,78.0
CyberGhost,DE,13,6,1,13,13,71.9
EasyHideIP,FR,13,3,2,13,13,95.0
FlowVPN,SG,13,5,4,13,13,70.0
FrootVPN,FR,13,3,2,13,13,95.0
KevinVPN,US,13,11,8,13,13,70.0
Kompot VPN,PA,13,2,1,13,13,70.0
NetShade,FR,13,13,1,13,13,95.0
ProtonVPN,EE,13,11,1,13,13,95.0
RedShield VPN,US,13,5,3,13,13,95.0
Riseup VPN,FR,13,11,1,13,13,95.0
Sentinel dVPN,VN,13,4,3,13,13,95.0
Smartdnsproxy,US,13,13,7,13,13,78.0
VPN.ac,FR,13,6,2,13,13,95.0
AirVPN,NZ,12,2,1,12,12,95.0
Anonine,FR,12,3,2,12,12,95.0
BoxPN,FR,12,3,2,12,12,95.0
FastestVPN,US,12,10,5,12,12,95.0
GhostPath,GB,12,11,7,12,12,88.0
Mullvad,NO,12,3,1,12,12,95.0
Private Internet Access,SE,12,3,2,12,12,95.0
PrivateVPN,IN,12,10,2,12,12,88.0
RedShield VPN,GB,12,12,1,12,12,95.0
Windscribe,CY,12,3,2,12,12,95.0
Windscribe,TH,12,4,3,12,12,95.0
WorldVPN,NL,12,8,4,12,12,88.0
Zoogvpn,US,12,10,6,12,12,78.0
Anonine,DE,11,6,1,11,11,95.0
AzireVPN,SE,11,7,2,11,11,95.0
BoxPN,DE,11,6,1,11,11,95.0
CyberGhost,KE,11,1,1,11,11,72.3
EasyHideIP,DE,11,6,1,11,11,95.0
ExpressVPN,RO,11,6,1,11,11,70.0
FastestVPN,CA,11,4,1,11,11,95.0
FrootVPN,DE,11,6,1,11,11,95.0
HideIPVPN,FR,11,11,1,11,11,70.0
IPVanish,MY,11,1,1,11,11,95.0
Ivacy,AU,11,6,3,11,11,95.0
Proxpn,US,11,10,2,11,11,78.0
Sentinel dVPN,AU,11,10,6,11,11,95.0
