provider,country,asn,asn_org,ip_count,prefix_count,hosting_ip_count,exit_node_count,avg_confidence
NordVPN,GB,212238,CDNEXT,2708,293,2708,2708,95.0
WLVPN,US,62651,NETPROTECT-62651,1496,74,1496,1496,95.0
IPVanish,US,62651,NETPROTECT-62651,1495,74,1495,1495,95.0
NordVPN,RO,9009,M247,1167,227,1167,1167,95.0
NordVPN,PA,136787,PACKETHUBSA-AS-AP PacketHub S.A.,1153,99,1153,1153,95.0
NordVPN,GB,62240,CLOUVIDER Clouvider - Global ASN,1079,44,1079,1079,95.0
CyberGhost,GB,212238,CDNEXT,878,49,878,878,71.7
CyberGhost,RO,9009,M247,782,60,782,782,72.8
NordVPN,AU,147049,PACKETHUBSA-AS-AP PacketHub S.A.,650,30,650,650,95.0
NordVPN,GB,25369,BANDWIDTH-AS,590,46,590,590,95.0
WLVPN,GB,62240,CLOUVIDER Clouvider - Global ASN,581,19,581,581,95.0
IPVanish,GB,62240,CLOUVIDER Clouvider - Global ASN,580,19,580,580,95.0
Astrill,GB,62240,CLOUVIDER Clouvider - Global ASN,539,14,539,539,78.0
ProtonVPN,GB,212238,CDNEXT,510,150,510,510,95.0
NordVPN,GB,60068,CDN77 _,425,55,425,425,95.0
NordVPN,PA,141039,PACKETHUBSA-AS-AP PacketHub S.A.,383,19,383,383,95.0
NordVPN,AU,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,368,23,368,368,95.0
NordVPN,PA,207137,PACKETHUBSA,343,22,343,343,95.0
AirVPN,RO,9009,M247,300,44,300,300,95.0
Astrill,US,174,COGENT-174,289,13,289,289,78.0
AirVPN,NL,49453,GLOBALLAYER,288,7,288,288,95.0
Windscribe,GB,212238,CDNEXT,284,60,284,284,95.0
IPVanish,US,140952,"STL-AS-AP Strong Technology, LLC",276,13,276,276,95.0
WLVPN,US,140952,"STL-AS-AP Strong Technology, LLC",276,13,276,276,95.0
Astrill,US,62904,AS62904 - Eonix Corporation,275,9,275,275,78.0
CyberGhost,AU,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,268,16,268,268,71.9
Astrill,GB,212238,CDNEXT,256,1,256,256,80.0
ProtonVPN,RO,9009,M247,251,127,251,251,95.0
Njalla,RO,39287,ABSTRACT,241,16,241,241,80.0
Sentinel dVPN,US,36352,AS-COLOCROSSING,236,176,236,236,95.0
StrongVPN,US,22781,STRTEC,226,64,226,226,80.9
StrongVPN,US,62651,NETPROTECT-62651,199,49,199,199,84.0
Windscribe,RO,9009,M247,195,40,195,195,95.0
WLVPN,US,22781,STRTEC,176,8,176,176,95.0
CyberGhost,US,174,COGENT-174,168,19,168,168,71.3
IPVanish,US,22781,STRTEC,161,7,161,161,95.0
CyberGhost,GB,60068,CDN77 _,153,19,153,153,72.1
TunnelBear,RO,9009,M247,137,22,137,137,95.0
IPVanish,US,174,COGENT-174,134,5,134,134,95.0
WLVPN,US,174,COGENT-174,134,5,134,134,95.0
Mullvad,US,11878,TZULO,127,61,127,127,95.0
PureVPN,GB,212238,CDNEXT,127,54,127,127,88.0
CyberGhost,SE,42708,GLESYS glesys.com,125,8,125,125,72.0
WiTopia,RO,9009,M247,125,23,125,125,95.0
Mullvad,GB,212238,CDNEXT,114,44,114,114,95.0
AirVPN,US,11878,TZULO,112,17,112,112,95.0
AirVPN,CA,32489,AMANAHA-NEW,104,6,104,104,95.0
ExpressVPN,CY,206092,SECFIREWALLAS,104,29,104,104,70.0
NordVPN,US,396356,LATITUDE-SH,103,7,103,103,95.0
TunnelBear,US,21859,ZEN-ECN,101,25,101,101,95.0
Astrill,US,36352,AS-COLOCROSSING,96,39,96,96,78.1
Astrill,FR,16276,OVH,95,16,95,95,78.0
Mullvad,RO,9009,M247,93,50,93,93,95.0
PureVPN,RO,9009,M247,93,42,93,93,88.0
Privado,NL,34343,BIP-AS BIP Backbone ASN,89,12,89,89,95.0
Mullvad,SE,39351,ESAB-AS,88,20,88,88,95.0
ExpressVPN,AU,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,87,35,87,87,69.7
Astrill,US,20473,AS-VULTR,84,3,84,84,78.0
Sentinel dVPN,DE,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",84,81,84,84,95.0
Windscribe,US,11878,TZULO,84,14,84,84,95.0
IPVanish,US,46844,SHARKTECH,81,2,81,81,95.0
TunnelBear,US,14061,DIGITALOCEAN-ASN,81,77,81,81,95.0
WLVPN,US,46844,SHARKTECH,81,2,81,81,95.0
Private Internet Access,RO,9009,M247,80,29,80,80,95.0
Private Internet Access,US,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,72,36,72,72,95.0
NordVPN,BR,262287,Latitude.sh LTDA,70,8,70,70,95.0
OVPN,SE,42675,OBEHOSTING Obehosting AB,68,6,68,68,95.0
VPN Unlimited,US,20473,AS-VULTR,67,60,67,67,70.0
Astrill,US,36351,SOFTLAYER,63,12,63,63,78.1
IPVanish,US,54203,NETPROTECT-SP,63,2,63,63,95.0
WLVPN,US,54203,NETPROTECT-SP,63,2,63,63,95.0
Private Internet Access,AU,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,60,21,60,60,95.0
IPVanish,US,36352,AS-COLOCROSSING,59,2,59,59,95.0
Private Internet Access,GB,212238,CDNEXT,59,25,59,59,95.0
WLVPN,US,36352,AS-COLOCROSSING,59,2,59,59,95.0
WorldVPN,DE,24940,HETZNER-AS,58,46,58,58,88.0
Astrill,US,6939,HURRICANE,54,13,54,54,78.0
Giganews,US,22363,PHMGMT-AS1,54,54,54,54,78.0
VyprVPN,US,22363,PHMGMT-AS1,54,54,54,54,95.0
NordVPN,IN,203020,HOSTROYALE,52,6,52,52,95.0
Anonine,RO,9009,M247,51,9,51,51,95.0
BoxPN,RO,9009,M247,51,9,51,51,95.0
EasyHideIP,RO,9009,M247,51,9,51,51,95.0
FrootVPN,RO,9009,M247,51,9,51,51,95.0
NordVPN,AU,136557,HOST-AS-AP Host Universal Pty Ltd,51,8,51,51,95.0
PureVPN,AU,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,49,18,49,49,88.0
VPN Unlimited,US,14061,DIGITALOCEAN-ASN,49,34,49,49,70.0
IPVanish,GB,3223,VOXILITY,47,2,47,47,95.0
NordVPN,NL,49453,GLOBALLAYER,47,4,47,47,95.0
PureVPN,MY,132372,GBNETWORK-AS-AP GB Network Solutions Sdn. Bhd.,47,17,47,47,88.0
WLVPN,GB,3223,VOXILITY,47,2,47,47,95.0
CyberGhost,NL,51430,ALTUS,46,2,46,46,71.1
WiTopia,US,393423,NTT-GLOBAL-DATA-CENTERS-AMERICA-INC,46,2,46,46,95.0
IPVanish,US,21859,ZEN-ECN,45,6,45,45,95.0
WLVPN,US,21859,ZEN-ECN,45,6,45,45,95.0
AirVPN,US,62744,QUINTEX,44,2,44,44,95.0
Privado,NL,205467,BASEIP-LAX,44,6,44,44,95.0
TunnelBear,SG,63949,AKAMAI-LINODE-AP Akamai Connected Cloud,44,33,44,44,95.0
VPN Unlimited,NL,209847,THE,43,21,43,43,70.0
IPVanish,US,13737,AS-INCX,40,1,40,40,95.0
Trust.Zone,RO,9009,M247,40,33,40,40,70.0
WLVPN,US,13737,AS-INCX,40,1,40,40,95.0
WiTopia,FR,16276,OVH,40,7,40,40,95.0
